iter	RMSE
180	0.3994822637
181	0.3989498939
182	0.3983240278
183	0.3976602447
184	0.3971859841
185	0.3965911333
186	0.3962513145
187	0.395767603
188	0.3953849272
189	0.3948959753
190	0.3944441926
191	0.3940823285
192	0.3936717896
193	0.3932292897
194	0.392888141
195	0.3924982348
196	0.3918322155
197	0.3915745444
198	0.3911101551
199	0.3906271604
200	0.390194227
201	0.3898470762
202	0.3893933014
203	0.3889030398
204	0.3883048296
205	0.3878525312
206	0.3875598622
207	0.3872037232
208	0.3867666672
209	0.386269929
210	0.38583709
211	0.3855823043
212	0.3852496744
213	0.3849146268
214	0.3846502906
215	0.3843180741
216	0.3839554746
217	0.3835733928
218	0.3831439971
219	0.3829207575
220	0.3826652498
221	0.3822550193
222	0.3819126209
223	0.3816243202
224	0.3811394928
225	0.3808467683
226	0.3805765001
227	0.3802283567
228	0.3798567441
229	0.3794581567
230	0.3791582044
231	0.3787348581
232	0.378374888
233	0.3780573754
234	0.3777737362
235	0.377475259
236	0.3771829451
237	0.3768696465
238	0.3765512666
239	0.3761623745
240	0.375971113
241	0.3756286999
242	0.375424052
243	0.3752214641
244	0.3749134626
245	0.3746765932
246	0.3744703873
247	0.374206622
248	0.3738830086
249	0.3735546122
250	0.3732448873
251	0.3729663823
252	0.3727088694
253	0.3723578886
254	0.372152526
255	0.3717450032
256	0.3715152204
257	0.3713725281
258	0.371107422
259	0.3708772107
260	0.3706861573
261	0.3703409689
262	0.3700541187
263	0.369761966
264	0.3694549
265	0.3691396577
266	0.3688691822
267	0.3684889203
268	0.3682414365
269	0.3680123592
270	0.3677963452
271	0.3675512036
272	0.3673085206
273	0.3670669004
274	0.3668135174
275	0.3666094292
276	0.3662457875
277	0.3660679561
278	0.3658239955
279	0.3656327824
280	0.3653836731
281	0.3651593115
282	0.3649513201
283	0.3647736509
284	0.3644804028
285	0.3642067222
286	0.3640086601
287	0.363762297
288	0.3634816652
289	0.3633147189
290	0.3630637919
291	0.3628376904
292	0.3626596072
293	0.3623464608
294	0.3621792384
295	0.3619522302
296	0.3617623466
297	0.361603359
298	0.3613850532
299	0.3610977808
300	0.3608651486
301	0.3606812802
302	0.3604852726
303	0.3602392174
304	0.3600943873
305	0.3599224487
306	0.3597373049
307	0.3596079308
308	0.3593345706
309	0.3590736707
310	0.3587874553
311	0.3585553651
312	0.3584299345
313	0.3581779184
314	0.3578736554
315	0.3575869276
316	0.3573121504
317	0.3569916237
318	0.3567460726
319	0.3565603173
320	0.3563702897
321	0.3560891952
322	0.355863187
323	0.3557513652
324	0.3555751121
325	0.3553982111
326	0.3551784322
327	0.3548639185
328	0.3546962609
329	0.3544212349
330	0.3542423588
331	0.3539778591
332	0.3538061681
333	0.3536200878
334	0.3534551083
335	0.3532993805
336	0.3529220006
337	0.3526786312
338	0.3524714059
339	0.352264048
340	0.3520745447
341	0.3518099369
342	0.3516571542
343	0.3514565653
344	0.3512757775
345	0.351054813
346	0.3508524638
347	0.3506688909
348	0.3505006134
349	0.3503609447
350	0.3502246639
351	0.3500415983
352	0.3498288853
353	0.3496962729
354	0.3494789051
355	0.3492845211
356	0.3491581006
357	0.3490227845
358	0.3488738792
359	0.3486498804
360	0.3485007787
361	0.3483054791
362	0.3481577981
363	0.3479994416
364	0.3478870138
365	0.3476840398
366	0.3474290444
367	0.3473136768
368	0.3471317318
369	0.3469482887
370	0.3468188727
371	0.3466677822
372	0.346439997
373	0.3462208774
374	0.3461029916
375	0.3459846857
376	0.3456758674
377	0.3454033856
378	0.3451402112
379	0.3450139459
380	0.344857272
381	0.344680657
382	0.3445655059
383	0.344407654
384	0.3442591707
385	0.3440608358
386	0.3438396097
387	0.3436716316
388	0.3435111843
389	0.3432124627
390	0.3430320005
391	0.3428742704
392	0.3427383668
393	0.342596382
394	0.342415244
395	0.3422508374
396	0.3420541712
397	0.3418369835
398	0.3417430241
399	0.3415684577
400	0.3414215922
401	0.3412789646
402	0.341035002
403	0.3408705008
404	0.3407962609
405	0.3405954026
406	0.3403556645
407	0.3402252813
408	0.3400195187
409	0.339917253
410	0.3397878937
411	0.3396179372
412	0.3394880161
413	0.3392752458
414	0.3391205313
415	0.3389252696
416	0.3386913133
417	0.338533087
418	0.3383745828
419	0.3382260989
420	0.338064149
421	0.3379272943
422	0.3377507097
423	0.3375759241
424	0.3374639085
425	0.3372642259
426	0.3370573752
427	0.3369558609
428	0.3368803774
429	0.336742815
430	0.336576909
431	0.3364284718
432	0.3362456539
433	0.3361075816
434	0.3359955075
435	0.3358185736
436	0.3356750443
437	0.3355228087
438	0.3353562012
439	0.3352239731
440	0.3350752559
441	0.3348639577
442	0.3347409577
443	0.3346679615
444	0.3345036644
445	0.3344199376
446	0.3342961092
447	0.3341436088
448	0.3340066417
449	0.3338208322
450	0.3336928483
451	0.3335593727
452	0.3334163975
453	0.333278159
454	0.3331036954
455	0.3329679153
456	0.3328109095
457	0.3327070511
458	0.3325737816
459	0.332396432
460	0.3321774331
461	0.3320030634
462	0.3318554809
463	0.331706169
464	0.3316038694
465	0.3314618281
466	0.3313493428
467	0.3312489478
468	0.331159057
469	0.3310508861
470	0.3308853057
471	0.3307280969
472	0.3306385968
473	0.3305131376
474	0.3303362991
475	0.3302431987
476	0.3300699209
477	0.3299713737
478	0.3298381487
479	0.3296979694
480	0.3295800756
481	0.3294351685
482	0.3292784691
483	0.3291290466
484	0.3288414728
485	0.3287651084
486	0.3286490973
487	0.3284343716
488	0.3283527401
489	0.3281708138
490	0.3280665031
491	0.3278309545
492	0.327686402
493	0.327615375
494	0.3274329565
495	0.3272840636
496	0.3271531572
497	0.3270219599
498	0.3269392506
499	0.3267908342
500	0.3266804772
501	0.3265256725
502	0.3263391049
503	0.3262242222
504	0.3261078881
505	0.3260052979
506	0.3258947952
507	0.3257396055
508	0.3256742258
509	0.3255603007
510	0.32544551
511	0.3252837788
512	0.3251094172
513	0.3249555273
514	0.3248204735
515	0.3246227962
516	0.3245033229
517	0.3243428166
518	0.3242500515
519	0.3241372316
520	0.3239466577
521	0.3238310053
522	0.3236758527
523	0.3235022017
524	0.3233244456
525	0.3231836669
526	0.32306034
527	0.3228729577
528	0.3227517674
529	0.3226065059
530	0.3224878524
531	0.3223726872
532	0.3222495543
533	0.3221573441
534	0.3220732225
535	0.3219601939
536	0.321869304
537	0.3217602588
538	0.3216467004
539	0.321484605
540	0.3213861889
541	0.3212871061
542	0.3211324743
543	0.3210273365
544	0.3208850695
545	0.320746301
546	0.3206020966
547	0.3204311968
548	0.3203495767
549	0.3202731612
550	0.3201539566
551	0.3200260001
552	0.3199122561
553	0.3197223335
554	0.3196696331
555	0.3195228477
556	0.3193713588
557	0.3191960751
558	0.3189429238
559	0.3188411969
560	0.3187535442
561	0.318655397
562	0.3185413143
563	0.3184336274
564	0.3183617326
565	0.3182317186
566	0.3181113502
567	0.3179926415
568	0.3178823149
569	0.3177934963
570	0.3176057714
571	0.317459846
572	0.3173342923
573	0.3171437368
574	0.3169965292
575	0.3168955158
576	0.3167545882
577	0.3166656034
578	0.3165426925
579	0.3164042732
580	0.3163263321
581	0.3161929998
582	0.3160605555
583	0.3159319186
584	0.3157981551
585	0.3155470237
586	0.3154528494
587	0.3152106322
588	0.3151323595
589	0.314928567
590	0.3148265143
591	0.3147244607
592	0.3146302276
593	0.3145141189
594	0.314406894
595	0.3142820941
596	0.3141052391
597	0.3138976315
598	0.3138084474
599	0.3136355668
600	0.3134104821
601	0.3132920046
602	0.3131641288
603	0.3130514501
604	0.3129619418
605	0.3128517603
606	0.3127518433
607	0.3126619575
608	0.312529784
609	0.3124261563
610	0.3122343964
611	0.3121246806
612	0.3119583216
613	0.3118061432
614	0.3115770373
615	0.3114343968
616	0.3112381773
617	0.3111483217
618	0.3109865077
619	0.3108847728
620	0.3108075159
621	0.3107135079
622	0.3106110711
623	0.3104775451
624	0.310360778
625	0.3102075707
626	0.3101376804
627	0.3099902804
628	0.3099087261
629	0.3096954063
630	0.3095582149
631	0.3094544884
632	0.3093592663
633	0.3091995736
634	0.3090109673
635	0.3088799846
636	0.3086512602
637	0.3085211205
638	0.3084049271
639	0.3082205854
640	0.3080989902
641	0.3079914489
642	0.3078677126
643	0.307744732
644	0.3076681842
645	0.3075544517
646	0.3074529967
647	0.3073510227
648	0.3072207283
649	0.3071491582
650	0.3070010601
651	0.306863707
652	0.3066662836
653	0.3065878162
654	0.3064489382
655	0.3063286
656	0.3062140476
657	0.3060885218
658	0.3059252343
659	0.3058683983
660	0.3057529782
661	0.3056732661
662	0.3055589663
663	0.3054528849
664	0.3052681709
665	0.3051076549
666	0.3049940491
667	0.3049120858
668	0.3047951966
669	0.3046419921
670	0.3045453048
671	0.3044135644
672	0.3043396526
673	0.3041426815
674	0.3040605224
675	0.3039297354
676	0.3038388909
677	0.3037570962
678	0.3036261759
679	0.3035249964
680	0.3034017063
681	0.3033063995
682	0.3032200265
683	0.3031304939
684	0.303054942
685	0.3028640469
686	0.3027557867
687	0.3026433515
688	0.3025157221
689	0.3024152543
690	0.3023188919
691	0.3022261945
692	0.3020799831
693	0.3019910231
694	0.3018524009
695	0.301767319
696	0.3016535284
697	0.3014859295
698	0.301294836
699	0.301187938
